epoch,loss,lr,mean_squared_error,r2score_fn,val_loss,val_mean_squared_error,val_r2score_fn
0,inf,0.001,inf,nan,66.02774047851562,53.05704879760742,nan
1,inf,0.001,inf,nan,nan,nan,nan
2,nan,0.001,nan,nan,nan,nan,nan
3,nan,0.001,nan,nan,nan,nan,nan
4,nan,0.001,nan,nan,nan,nan,nan
5,nan,0.001,nan,nan,nan,nan,nan
6,nan,0.001,nan,nan,nan,nan,nan
7,nan,0.001,nan,nan,nan,nan,nan
8,nan,0.001,nan,nan,nan,nan,nan
9,nan,0.001,nan,nan,nan,nan,nan
10,nan,0.001,nan,nan,nan,nan,nan
11,nan,0.001,nan,nan,nan,nan,nan
12,nan,0.001,nan,nan,nan,nan,nan
13,nan,0.001,nan,nan,nan,nan,nan
14,nan,0.001,nan,nan,nan,nan,nan
15,nan,0.001,nan,nan,nan,nan,nan
16,nan,0.001,nan,nan,nan,nan,nan
17,nan,0.001,nan,nan,nan,nan,nan
18,nan,0.001,nan,nan,nan,nan,nan
19,nan,0.001,nan,nan,nan,nan,nan
20,nan,0.001,nan,nan,nan,nan,nan
21,nan,0.001,nan,nan,nan,nan,nan
22,nan,0.001,nan,nan,nan,nan,nan
23,nan,0.001,nan,nan,nan,nan,nan
24,nan,0.001,nan,nan,nan,nan,nan
25,nan,0.001,nan,nan,nan,nan,nan
26,nan,0.001,nan,nan,nan,nan,nan
27,nan,0.001,nan,nan,nan,nan,nan
28,nan,0.001,nan,nan,nan,nan,nan
29,nan30,nan,0.001,nan,nan,nan,nan,nan
31,nan,0.001,nan,nan,nan,nan,nan
,0.001,nan,nan,nan,nan,nan
32,nan,0.001,nan,nan,nan,nan,nan
33,nan,0.001,nan,nan,nan,nan,nan
34,nan,0.001,nan,nan,nan,nan,nan
35,nan,0.001,nan,nan,nan,nan,nan
36,nan,0.001,nan,nan,nan,nan,nan
37,nan,0.001,nan,nan,nan,nan,nan
38,nan,0.001,nan,nan,nan,nan,nan
39,nan,0.001,nan,nan,nan,nan,nan
40,nan,0.001,nan,nan,nan,nan,nan
41,nan,0.001,nan,nan,nan,nan,nan
42,nan,0.001,nan,nan,nan,nan,nan
43,nan,0.001,nan,nan,nan,nan,nan
44,nan,0.001,nan,nan,nan,nan,nan
45,nan,0.001,nan,nan,nan,nan,nan
46,nan,0.001,nan,nan,nan,nan,nan
47,nan,0.001,nan,nan,nan,nan,nan
48,nan,0.001,nan,nan,nan,nan,nan
49,nan,0.001,nan,nan,nan,nan,nan
50,nan,0.001,nan,nan,nan,nan,nan
51,nan,0.001,nan,nan,nan,nan,nan
52,nan,0.001,nan,nan,nan,nan,nan
53,nan,0.001,nan,nan,nan,nan,nan
54,nan,0.001,nan,nan,nan,nan,nan
55,nan,0.001,nan,nan,nan,nan,nan
56,nan,0.001,nan,nan,nan,nan,nan
57,nan,0.001,nan,nan,nan,nan,nan
58,nan,0.001,nan,nan,nan,nan,nan
59,nan,0.001,nan,nan,nan,nan,nan
60,nan,0.00090000004,nan,nan,nan,nan,nan
61,nan,0.00090000004,nan,nan,nan,nan,nan
62,nan,0.00090000004,nan,nan,nan,nan,nan
63,nan,0.00090000004,nan,nan,nan,nan,nan
64,nan,0.00090000004,nan,nan,nan,nan,nan
65,nan,0.00090000004,nan,nan,nan,nan,nan
66,nan,0.00090000004,nan,nan,nan,nan,nan
67,nan,0.00090000004,nan,nan,nan,nan,nan
68,nan,0.00090000004,nan,nan,nan,nan,nan
69,nan,0.00090000004,nan,nan,nan,nan,nan
70,nan,0.00090000004,nan,nan,nan,nan,nan
71,nan,0.00090000004,nan,nan,nan,nan,nan
72,nan,0.00090000004,nan,nan,nan,nan,nan
73,nan,0.00090000004,nan,nan,nan,nan,nan
74,nan,0.00090000004,nan,nan,nan,nan,nan
75,nan,0.00090000004,nan,nan,nan,nan,nan
76,nan,0.00090000004,nan,nan,nan,nan,nan
77,nan,0.00090000004,nan,nan,nan,nan,nan
78,nan,0.00090000004,nan,nan,nan,nan,nan
79,nan,0.00090000004,nan,nan,nan,nan,nan
80,nan,0.00081000006,nan,nan,nan,nan,nan
81,nan,0.00081000006,nan,nan,nan,nan,nan
82,nan,0.00081000006,nan,nan,nan,nan,nan
83,nan,0.00081000006,nan,nan,nan,nan,nan
84,nan,0.00081000006,nan,nan,nan,nan,nan
85,nan,0.00081000006,nan,nan,nan,nan,nan
86,nan,0.00081000006,nan,nan,nan,nan,nan
87,nan,0.00081000006,nan,nan,nan,nan,nan
88,nan,0.00081000006,nan,nan,nan,nan,nan
89,nan,0.00081000006,nan,nan,nan,nan,nan
90,nan,0.00081000006,nan,nan,nan,nan,nan
91,nan,0.00081000006,nan,nan,nan,nan,nan
92,nan,0.00081000006,nan,nan,nan,nan,nan
93,nan,0.00081000006,nan,nan,nan,nan,nan
94,nan,0.00081000006,nan,nan,nan,nan,nan
95,nan,0.00081000006,nan,nan,nan,nan,nan
96,nan,0.00081000006,nan,nan,nan,nan,nan
97,nan,0.00081000006,nan,nan,nan,nan,nan
98,nan,0.00081000006,nan,nan,nan,nan,nan
99,nan,0.00081000006,nan,nan,nan,nan,nan
100,nan,0.0007290001,nan,nan,nan,nan,nan
